-1 | -1 | 47 | -1 | #SUP: 2854
-1 | -1 | 48 | -1 | #SUP: 2843
-1 | 0 | -1 | -1 | #SUP: 2853
-1 | 1 | -1 | -1 | #SUP: 2921
-1 | 1 | -1 | 33 | #SUP: 1013
-1 | 2 | -1 | -1 | #SUP: 3191
-1 | 2 | -1 | 14 | #SUP: 1055
-1 | 4 | -1 | -1 | #SUP: 2853
-1 | 5 | -1 | -1 | #SUP: 2850
-1 | 6 | -1 | -1 | #SUP: 3497
-1 | 6 | -1 | 41 | #SUP: 1084
-1 | 8 | -1 | -1 | #SUP: 2577
-1 | 9 | -1 | -1 | #SUP: 2845
-1 | 10 | -1 | -1 | #SUP: 2506
-1 | 11 | -1 | -1 | #SUP: 2931
-1 | 12 | -1 | -1 | #SUP: 3245
-1 | 13 | -1 | -1 | #SUP: 2803
-1 | 14 | -1 | -1 | #SUP: 3010
-1 | 17 | -1 | -1 | #SUP: 3110
-1 | 18 | -1 | -1 | #SUP: 2852
-1 | 19 | -1 | -1 | #SUP: 2601
-1 | 21 | -1 | -1 | #SUP: 2768
-1 | 22 | -1 | -1 | #SUP: 3301
-1 | 22 | -1 | 14 | #SUP: 1097
-1 | 23 | -1 | -1 | #SUP: 2724
-1 | 24 | -1 | -1 | #SUP: 2909
-1 | 25 | -1 | -1 | #SUP: 3365
-1 | 26 | -1 | -1 | #SUP: 2891
-1 | 27 | -1 | -1 | #SUP: 3129
-1 | 28 | -1 | -1 | #SUP: 3028
-1 | 29 | -1 | -1 | #SUP: 2892
-1 | 30 | -1 | -1 | #SUP: 2989
-1 | 31 | -1 | -1 | #SUP: 2606
-1 | 33 | -1 | -1 | #SUP: 3252
-1 | 34 | -1 | -1 | #SUP: 3232
-1 | 34 | -1 | 12 | #SUP: 1070
-1 | 37 | -1 | -1 | #SUP: 3247
-1 | 38 | -1 | -1 | #SUP: 3006
-1 | 39 | -1 | -1 | #SUP: 2782
-1 | 40 | -1 | -1 | #SUP: 3082
-1 | 40 | -1 | 41 | #SUP: 1203
-1 | 41 | -1 | -1 | #SUP: 3205
-1 | 42 | -1 | -1 | #SUP: 3071
-1 | 45 | -1 | -1 | #SUP: 3183
-1 | 46 | -1 | -1 | #SUP: 2829
-1 | 47 | -1 | -1 | #SUP: 2835
-1 | 48 | -1 | -1 | #SUP: 2828
0 | -1 | -1 | -1 | #SUP: 2843
1 | -1 | -1 | -1 | #SUP: 2853
2 | -1 | -1 | -1 | #SUP: 3179
2 | -1 | -1 | 14 | #SUP: 1031
4 | -1 | -1 | -1 | #SUP: 2803
5 | -1 | -1 | -1 | #SUP: 2831
6 | -1 | -1 | -1 | #SUP: 3455
6 | -1 | -1 | 41 | #SUP: 1033
8 | -1 | -1 | -1 | #SUP: 2514
9 | -1 | -1 | -1 | #SUP: 2829
10 | -1 | -1 | -1 | #SUP: 2428
11 | -1 | -1 | -1 | #SUP: 2910
12 | -1 | -1 | -1 | #SUP: 3153
13 | -1 | -1 | -1 | #SUP: 2749
14 | -1 | -1 | -1 | #SUP: 2966
17 | -1 | -1 | -1 | #SUP: 3049
18 | -1 | -1 | -1 | #SUP: 2774
19 | -1 | -1 | -1 | #SUP: 2531
21 | -1 | -1 | -1 | #SUP: 2738
22 | -1 | -1 | -1 | #SUP: 3239
22 | -1 | -1 | 14 | #SUP: 1031
23 | -1 | -1 | -1 | #SUP: 2674
24 | -1 | -1 | -1 | #SUP: 2957
25 | -1 | -1 | -1 | #SUP: 3273
26 | -1 | -1 | -1 | #SUP: 2861
27 | -1 | -1 | -1 | #SUP: 3062
28 | -1 | -1 | -1 | #SUP: 2935
29 | -1 | -1 | -1 | #SUP: 2819
30 | -1 | -1 | -1 | #SUP: 2949
31 | -1 | -1 | -1 | #SUP: 2584
33 | -1 | -1 | -1 | #SUP: 3178
34 | -1 | -1 | -1 | #SUP: 3224
34 | -1 | -1 | 12 | #SUP: 1038
37 | -1 | -1 | -1 | #SUP: 3165
38 | -1 | -1 | -1 | #SUP: 2991
39 | -1 | -1 | -1 | #SUP: 2752
40 | -1 | -1 | -1 | #SUP: 3010
40 | -1 | -1 | 41 | #SUP: 1071
41 | -1 | -1 | -1 | #SUP: 3144
42 | -1 | -1 | -1 | #SUP: 2993
